Unnamed: 0,Al,As,B,Bi,C,Ga,Ge,N,O,P,S,Sb,Se,Si,Sn,Te
Ac,3.34,2.33,2.76,2.55,2.76,3.34,3.34,2.67,2.52,2.24,2.71,2.47,2.82,3.34,3.34,2.97
Ag,2.47,3.26,1.79,3.48,1.74,2.47,3.08,1.7,3.15,3.15,2.64,3.41,2.91,2.47,2.47,2.79
Al,2.78,2.77,2.0,3.04,2.0,2.78,2.78,2.0,2.78,2.68,2.41,3.04,2.57,2.78,2.78,2.8
As,3.12,2.78,2.48,2.96,2.48,3.12,3.12,2.48,2.69,2.68,2.73,2.91,2.82,3.12,3.12,3.01
At,3.54,2.79,3.11,2.85,3.11,3.54,3.54,3.11,3.0,2.7,3.1,2.81,3.2,3.54,3.54,3.31
Au,2.53,3.2,1.85,3.42,1.81,2.53,2.53,1.77,3.14,3.09,2.5,3.35,2.71,2.53,2.53,2.85
B,3.91,1.72,3.14,1.93,3.44,3.91,3.91,3.44,3.02,1.63,3.11,1.84,3.2,3.91,3.91,3.29
Bi,3.54,2.77,2.99,3.78,2.99,3.54,3.54,2.99,2.69,2.67,2.97,3.98,3.08,3.54,3.54,3.26
Cd,3.12,2.56,2.22,2.78,2.51,3.12,3.12,2.47,2.29,2.46,2.74,2.7,2.82,3.12,3.12,2.97
Ce,3.2,2.48,2.61,2.69,2.62,3.2,3.2,2.56,2.46,2.38,2.67,2.62,2.78,3.2,3.2,2.94
Co,3.28,2.4,2.4,2.81,2.69,3.28,3.28,2.65,2.31,2.3,2.55,2.58,2.47,3.28,3.28,2.63
Cr,2.75,2.92,2.13,3.14,2.03,2.75,2.75,2.04,2.11,2.81,2.48,3.03,2.63,2.75,2.75,2.79
Cu,3.79,1.85,2.24,2.06,3.29,3.79,3.79,2.49,2.94,1.76,2.93,1.98,2.65,3.79,3.79,2.74
Dy,3.15,2.54,2.54,2.75,2.53,3.15,3.15,2.47,2.44,2.43,2.66,2.67,2.76,3.15,3.15,2.93
Er,3.12,2.57,2.51,2.78,2.49,3.12,3.12,2.44,2.43,2.46,2.65,2.71,2.75,3.12,3.12,2.92
Eu,3.3,2.37,2.72,2.59,2.71,3.3,3.3,2.55,2.5,2.27,2.7,2.51,2.81,3.3,3.3,2.96
Fe,2.7,2.44,2.07,2.93,2.01,2.7,2.7,2.08,2.42,2.32,2.35,2.64,2.46,2.7,2.7,2.64
Ga,2.75,2.79,2.03,3.02,2.03,2.75,2.75,2.03,2.91,2.7,2.5,3.07,2.62,2.75,2.75,2.81
Gd,3.18,2.5,2.58,2.72,2.56,3.18,3.18,2.5,2.45,2.4,2.67,2.64,2.77,3.18,3.18,2.93
Ge,2.95,2.84,2.39,2.98,2.39,2.95,3.24,2.57,2.62,2.74,2.76,2.98,2.81,2.95,2.95,2.94
Hf,2.96,2.7,2.41,2.96,2.31,2.96,2.96,2.28,2.53,2.61,2.61,2.91,2.74,2.96,2.96,2.92
Hg,3.18,2.51,2.28,2.72,2.58,3.18,3.18,2.53,2.32,2.4,3.32,2.64,2.66,3.18,3.18,2.83
Ho,3.13,2.55,2.52,2.77,2.51,3.13,3.13,2.46,2.43,2.45,2.65,2.69,2.76,3.13,3.13,2.92
In,3.01,2.77,2.32,2.96,2.32,3.01,3.01,2.32,2.82,2.68,2.68,2.96,2.74,3.01,3.01,2.95
Ir,2.74,2.97,2.17,3.19,2.06,2.74,2.74,1.93,2.29,2.86,2.42,3.12,2.56,2.74,2.74,2.87
La,3.32,2.36,2.74,2.57,2.74,3.32,3.32,2.66,2.51,2.26,2.71,2.49,2.81,3.32,3.32,2.97
Lu,3.08,2.61,2.46,2.83,2.44,3.08,3.08,2.4,2.41,2.51,2.63,2.75,2.74,3.08,3.08,2.91
Mn,2.5,3.05,2.11,3.27,2.04,2.5,2.5,2.08,2.32,2.94,2.57,3.27,2.67,2.5,2.5,2.78
Mo,2.82,2.95,2.2,3.0,2.16,2.82,2.82,2.17,2.35,2.84,2.95,3.06,2.69,2.82,2.82,2.86
Nb,2.9,2.83,2.28,3.05,2.21,2.9,2.9,2.2,2.29,2.72,2.5,2.94,2.63,2.9,2.9,2.81
Nd,3.26,2.42,2.67,2.63,2.68,3.26,3.26,2.59,2.49,2.32,2.69,2.55,2.79,3.26,3.26,2.95
Ni,3.21,2.46,2.32,2.79,2.61,3.21,3.21,2.57,2.27,2.39,2.37,2.59,2.5,3.21,3.21,2.66
Np,2.99,2.71,2.35,2.92,2.35,2.99,2.99,2.34,2.37,2.6,2.6,2.85,2.71,2.99,2.99,2.88
Os,2.74,2.97,2.1,3.19,2.06,2.74,2.74,2.02,2.37,2.86,2.54,3.12,2.71,2.74,2.74,2.88
Pa,3.14,2.54,2.53,2.76,2.52,3.14,3.14,2.5,2.44,2.44,2.65,2.68,2.76,3.14,3.14,2.92
Pb,3.49,2.76,2.93,2.85,2.93,3.49,3.49,2.93,2.81,2.66,3.03,2.78,3.05,3.49,3.49,3.23
Pd,2.54,2.62,1.87,2.91,1.83,2.54,2.54,1.78,2.7,2.52,2.5,2.73,2.62,2.54,2.54,2.78
Pm,3.24,2.44,2.65,2.65,2.65,3.24,3.24,2.56,2.48,2.34,2.68,2.58,2.79,3.24,3.24,2.95
Po,3.44,2.8,2.99,2.88,2.99,3.44,3.44,2.99,2.93,2.71,3.04,2.84,3.14,3.44,3.44,3.25
Pr,3.28,2.39,2.7,2.6,2.7,3.28,3.28,2.62,2.5,2.29,2.7,2.53,2.8,3.28,3.28,2.96
Pt,2.6,3.13,1.93,3.34,1.89,2.6,2.6,1.85,2.35,3.01,2.28,3.28,3.05,2.6,2.6,2.86
Pu,2.9,2.8,2.25,3.02,2.25,2.9,2.9,2.26,2.34,2.7,2.58,2.95,2.69,2.9,2.9,2.86
Re,2.8,3.11,2.18,3.33,2.18,2.8,2.8,2.22,2.39,3.0,2.56,3.22,2.73,2.8,2.8,2.9
Rh,3.17,2.52,2.26,2.73,2.56,3.17,3.17,1.87,2.31,2.41,2.48,2.65,2.51,3.17,3.17,2.82
Ru,2.68,3.03,2.04,3.25,1.99,2.68,2.68,1.95,2.32,2.92,2.49,3.18,2.66,2.68,2.68,2.83
Sb,3.19,2.83,2.7,2.94,2.7,3.19,3.19,2.7,2.78,2.73,2.88,2.92,2.99,3.19,3.19,3.09
Sc,3.0,2.55,2.46,2.77,2.32,3.0,3.0,2.28,2.41,2.43,2.56,2.66,2.72,3.0,3.0,2.85
Si,2.78,2.86,2.21,3.09,2.21,2.78,2.83,2.21,2.53,2.76,2.51,3.06,2.74,2.78,2.78,2.84
Sm,3.22,2.46,2.62,2.68,2.6,3.22,3.22,2.55,2.47,2.36,2.68,2.6,2.78,3.22,3.22,2.94
Sn,3.39,2.75,2.74,2.88,2.74,3.39,3.39,2.74,2.72,2.65,2.9,2.8,2.93,3.39,3.39,3.15
Ta,2.97,2.86,2.27,3.08,2.21,2.97,2.97,2.21,2.46,2.75,2.53,2.97,2.67,2.97,2.97,2.92
Tb,3.17,2.52,2.56,2.73,2.55,3.17,3.17,2.49,2.45,2.42,2.66,2.66,2.77,3.17,3.17,2.93
Tc,2.74,3.08,2.12,3.3,2.08,2.74,2.74,2.03,2.33,2.97,2.5,3.19,2.67,2.74,2.74,2.84
Th,3.26,2.42,2.67,2.63,2.67,3.26,3.26,2.61,2.49,2.32,2.69,2.55,2.79,3.26,3.26,2.95
Ti,2.92,2.58,2.3,2.89,2.17,2.92,2.92,2.14,2.16,2.48,2.41,2.85,2.58,2.92,2.92,2.81
Tl,3.35,2.82,2.82,2.95,2.82,3.35,3.35,2.82,2.41,2.71,2.89,2.82,3.0,3.35,3.35,3.15
Tm,3.1,2.58,2.49,2.8,2.47,3.1,3.1,2.43,2.42,2.48,2.64,2.72,2.75,3.1,3.1,2.91
U,3.08,2.6,2.47,2.82,2.47,3.08,3.08,2.44,2.41,2.5,2.64,2.74,2.74,3.08,3.08,2.91
V,2.84,2.8,2.14,3.02,2.07,2.84,2.84,2.05,2.21,2.68,2.52,2.91,2.58,2.84,2.84,2.8
W,2.89,2.99,2.2,3.21,2.18,2.89,2.89,2.2,2.24,2.87,2.48,3.1,2.74,2.89,2.89,2.91
Y,3.07,2.58,2.64,2.8,2.53,3.07,3.07,2.47,2.24,2.47,2.68,2.69,2.72,3.07,3.07,2.89
Yb,3.09,2.6,2.47,2.81,2.47,3.09,3.09,2.4,2.42,2.49,2.64,2.74,2.74,3.09,3.09,2.91
Zn,3.07,2.62,2.15,2.84,2.45,3.07,3.07,2.4,2.61,2.52,2.41,2.76,2.53,3.07,3.07,2.68
Zr,2.99,2.72,2.44,2.89,2.34,2.99,2.99,2.31,2.52,2.63,2.6,2.92,2.76,2.99,2.99,2.88
